Date,Price
2022-09-12,22322.5289
2022-09-13,20167.1635
2022-09-14,20338.3629
2022-09-15,19709.9562
2022-09-16,19718.5458
2022-09-17,20120.1384
2022-09-18,19430.6557
2022-09-19,19545.9213
2022-09-20,18951.274
2022-09-21,18527.2222
2022-09-22,19366.3358
2022-09-23,19230.4879
2022-09-24,18941.6802
2022-09-25,18763.2954
2022-09-26,19166.3009
2022-09-27,19112.4705
2022-09-28,19543.2271
2022-09-29,19562.4324
2022-09-30,19391.5565
2022-10-01,19324.1566
2022-10-02,19011.5236
2022-10-03,19514.0937
2022-10-04,20293.2776
2022-10-05,20112.54
2022-10-06,19937.6025
2022-10-07,19573.7922
2022-10-08,19360.6984
2022-10-09,19409.9207
2022-10-10,19124.3681
2022-10-11,19040.6501
2022-10-12,19170.2402
2022-10-13,19374.4796
2022-10-14,19150.982
2022-10-15,19080.0457
2022-10-16,19285.4529
2022-10-17,19504.5916
2022-10-18,19331.2674
2022-10-19,19152.8445
2022-10-20,19016.3412
2022-10-21,19173.3774
2022-10-22,19195.5837
2022-10-23,19638.6166
2022-10-24,19346.3088
2022-10-25,20093.1996
2022-10-26,20809.2696
2022-10-27,20270.8151
2022-10-28,20626.2153
2022-10-29,20784.098
2022-10-30,20572.1358
2022-10-31,20458.9114
2022-11-01,20463.532
2022-11-02,20101.9218
2022-11-03,20205.0871
2022-11-04,21196.4654
2022-11-05,21317.3759
2022-11-06,21123.6085
2022-11-07,20476.6677
2022-11-08,18620.4284
2022-11-09,16011.3449
2022-11-10,17830.8507
2022-11-11,16926.6208
2022-11-12,16818.3691
2022-11-13,16439.864
2022-11-14,16357.7321
2022-11-15,16834.8566
2022-11-16,16603.6122
2022-11-17,16694.1198
2022-11-18,16621.2133
2022-11-19,16764.1374
2022-11-20,16262.0095
2022-11-21,15791.0755
2022-11-22,16104.3329
2022-11-23,16469.3018
2022-11-24,16566.5792
2022-11-25,16504.6188
2022-11-26,16409.9123
2022-11-27,16567.2033
2022-11-28,16215.239
2022-11-29,16466.6602
2022-11-30,17087.1645
2022-12-01,16964.3489
2022-12-02,17060.684
2022-12-03,16880.932
2022-12-04,17089.8415
2022-12-05,16968.4252
2022-12-06,16980.1176
2022-12-07,16829.9033
2022-12-08,17231.5686
2022-12-09,17117.2911
2022-12-10,17120.4156
2022-12-11,17128.6838
2022-12-12,17163.0961
2022-12-13,17716.8423
2022-12-14,17816.7007
2022-12-15,17296.3758
2022-12-16,16774.5065
2022-12-17,16720.5882
2022-12-18,16792.7392
2022-12-19,16416.0482
2022-12-20,16863.1098
2022-12-21,16767.1835
2022-12-22,16796.5874
2022-12-23,16773.1166
2022-12-24,16843.0499
2022-12-25,16811.0844
2022-12-26,16829.2524
2022-12-27,16692.8824
2022-12-28,16502.3056
2022-12-29,16620.066
2022-12-30,16583.8842
2022-12-31,16530.6865
2023-01-01,16587.0969
2023-01-02,16697.891
2023-01-03,16645.0828
2023-01-04,16832.6429
2023-01-05,16836.6268
2023-01-06,16943.8349
2023-01-07,16936.3394
2023-01-08,16967.6479
2023-01-09,17193.1859
2023-01-10,17429.1799
2023-01-11,17578.4761
2023-01-12,18860.8514
2023-01-13,19975.8062
2023-01-14,20932.9865
2023-01-15,20855.9861
2023-01-16,21167.7976
2023-01-17,21279.218
2023-01-18,20739.7677
2023-01-19,21032.8915
2023-01-20,22614.2726
2023-01-21,23038.6192
2023-01-22,22569.065
2023-01-23,22957.9496
2023-01-24,22841.0554
2023-01-25,23387.2412
2023-01-26,23024.197
2023-01-27,23029.58
2023-01-28,23002.1915
2023-01-29,23783.0611
2023-01-30,22684.3003
2023-01-31,22954.8947
2023-02-01,23670.4363
2023-02-02,23565.5217
2023-02-03,23426.06
2023-02-04,23432.76
2023-02-05,23016.7707
2023-02-06,22889.5755
2023-02-07,23232.0404
2023-02-08,22967.7958
2023-02-09,21864.0361
2023-02-10,21591.5718
2023-02-11,21864.8011
2023-02-12,21822.9671
2023-02-13,21650.3487
2023-02-14,22206.7121
2023-02-15,24267.1257
2023-02-16,24122.9475
2023-02-17,24599.2516
2023-02-18,24627.273
2023-02-19,24487.8726
2023-02-20,24703.7081
2023-02-21,24350.2385
2023-02-22,24050.2068
2023-02-23,23813.8988
2023-02-24,23039.6714
2023-02-25,23101.714
2023-02-26,23422.3636
2023-02-27,23408.8514
2023-02-28,23210.8096
2023-03-01,23502.4072
2023-03-02,23497.0636
2023-03-03,22277.8107
2023-03-04,22341.8291
2023-03-05,22419.3627
2023-03-06,22444.639
2023-03-07,22105.8024
2023-03-08,21983.4801
2023-03-09,20362.1065
2023-03-10,20103.4095
2023-03-11,20429.6296
2023-03-12,21923.5343
2023-03-13,24170.8956
2023-03-14,24681.1239
2023-03-15,24477.3991
2023-03-16,24950.8549
2023-03-17,27673.713
2023-03-18,27082.1601
2023-03-19,28179.1543
2023-03-20,28065.6588
2023-03-21,28009.3905
2023-03-22,27095.2745
2023-03-23,28245.0848
2023-03-24,27421.8415
2023-03-25,27489.0066
2023-03-26,28003.7936
2023-03-27,27130.011
2023-03-28,27193.3959
2023-03-29,28366.5156
2023-03-30,28053.758
2023-03-31,28603.1655
2023-04-01,28527.4572
2023-04-02,27988.5147
2023-04-03,27867.3463
2023-04-04,28205.4316
2023-04-05,28179.9075
2023-04-06,27991.649
2023-04-07,27907.2963
2023-04-08,27980.4292
2023-04-09,28371.1984
2023-04-10,29640.7363
2023-04-11,30218.7775
2023-04-12,29903.9588
2023-04-13,30372.8333
2023-04-14,30551.5136
2023-04-15,30443.4115
2023-04-16,30324.9821
2023-04-17,29534.1031
2023-04-18,30314.6885
2023-04-19,29188.919
2023-04-20,28251.0612
2023-04-21,27404.6589
2023-04-22,27975.3365
2023-04-23,27596.7901
2023-04-24,27446.3265
2023-04-25,28245.4644
2023-04-26,28309.6592
2023-04-27,29537.4033
2023-04-28,29510.4777
2023-04-29,29274.5048
2023-04-30,29415.9797
2023-05-01,28080.4289
2023-05-02,28759.3114
2023-05-03,29182.2169
2023-05-04,28785.2338
2023-05-05,29656.4166
2023-05-06,29007.9082
2023-05-07,28828.5236
2023-05-08,27664.5025
2023-05-09,27575.5878
2023-05-10,27596.7939
2023-05-11,26938.6681
2023-05-12,26834.0298
2023-05-13,26960.6676
2023-05-14,26917.7116
2023-05-15,27283.6889
2023-05-16,26992.8556
2023-05-17,27304.0604
2023-05-18,26843.2255
2023-05-19,26876.9636
2023-05-20,27049.9291
2023-05-21,26770.4328
2023-05-22,26882.9352
2023-05-23,27179.002
2023-05-24,26329.6907
2023-05-25,26436.0698
2023-05-26,26729.3862
2023-05-27,26823.2765
2023-05-28,28055.5362
2023-05-29,27644.9239
2023-05-30,27740.7071
2023-05-31,27164.9159
2023-06-01,26869.5351
2023-06-02,27293.2814
2023-06-03,27085.4667
2023-06-04,27319.4471
2023-06-05,25758.6438
2023-06-06,27099.0226
2023-06-07,26242.9491
2023-06-08,26600.3653
2023-06-09,26460.5807
2023-06-10,25950.5441
2023-06-11,25809.0986
2023-06-12,25891.9343
2023-06-13,25838.1422
2023-06-14,25039.4068
2023-06-15,25621.2334
2023-06-16,26341.725
2023-06-17,26552.4801
2023-06-18,26426.6383
2023-06-19,26789.5535
2023-06-20,28207.0228
2023-06-21,30024.0116
2023-06-22,30012.5558
2023-06-23,30647.9517
2023-06-24,30517.9898
2023-06-25,30509.3455
2023-06-26,30242.5031
2023-06-27,30604.8404
2023-06-28,30129.8252
2023-06-29,30431.8145
2023-06-30,30491.5815
2023-07-01,30565.1182
2023-07-02,30527.7172
2023-07-03,31097.7188
2023-07-04,30771.2109
2023-07-05,30434.9292
2023-07-06,30240.3051
2023-07-07,30318.3381
2023-07-08,30212.5395
2023-07-09,30196.7793
2023-07-10,30338.4113
2023-07-11,30540.2744
2023-07-12,30352.0061
2023-07-13,31285.1488
2023-07-14,30256.1701
2023-07-15,30307.7145
2023-07-16,30337.3844
2023-07-17,30161.6451
2023-07-18,29828.5909
2023-07-19,29901.2402
2023-07-20,29834.5287
2023-07-21,29966.0088
2023-07-22,29835.8529
2023-07-23,30033.2136
2023-07-24,29168.6791
2023-07-25,29237.1656
2023-07-26,29465.9088
2023-07-27,29201.9946
2023-07-28,29312.988
2023-07-29,29384.2858
2023-07-30,29179.7394
2023-07-31,29198.6256
2023-08-01,29203.6066
2023-08-02,29168.9587
2023-08-03,29185.0597
2023-08-04,29092.8163
2023-08-05,29123.4393
2023-08-06,29147.6954
